date,percentile_rank,z_score,mc_mean,mc_std,actual,actual_vs_mean_pct
2024-03-24,57.0,0.13061968236447474,269.92506667475374,14.813488745344307,271.86,0.7168409177713553
2024-03-25,54.0,0.10033852519837841,382.156583426427,18.87028406577657,384.05,0.4954556994927417
2024-03-26,63.6,0.3928917527831072,375.190082058619,18.707232962832727,382.54,1.9589851365614308
2024-03-27,68.5,0.45099534867243507,386.63924086701485,20.17927392993987,395.74,2.353811556369001
2024-03-28,68.8,0.4390321647499362,381.5899822465377,19.42913982005999,390.12,2.2353882833200833
2024-03-29,66.60000000000001,0.4424430372602047,364.23160077931385,18.778459775731285,372.54,2.28107588767954
2024-03-30,33.6,-0.46248424511472813,369.0599657694368,19.373557913804945,360.1,-2.427780469430374
2024-03-31,62.1,0.290966087038709,287.19604720239886,15.444935704954487,291.69,1.5647683320773709
2024-04-01,24.200000000000003,-0.7101759669841439,341.6712250565282,17.617076510604534,329.16,-3.6617731137464804
2024-04-02,32.6,-0.4813101310379537,286.66656397277467,15.492222188185293,279.21,-2.601127899060751
2024-04-03,28.700000000000003,-0.5613047984962563,376.73987056379286,18.973416993795965,366.09,-2.8268498759781657
2024-04-04,31.5,-0.44470530800632374,356.354468818504,18.471711998728633,348.14,-2.305139836112946
2024-04-05,64.0,0.33998084265023226,363.4933335249823,18.40299614020794,369.75,1.7212603087774836
2024-04-06,53.2,0.09181347276509504,281.8830169095291,15.106530195258143,283.27,0.4920420909628742
2024-04-08,35.300000000000004,-0.41214718882054774,126.07471575611781,9.935080124381223,121.98,-3.247848493300376
2024-04-09,83.10000000000001,0.951532216564642,200.33406451444142,12.113026057739754,211.86,5.753357779414348
2024-04-10,83.60000000000001,0.9733147826515847,335.42764912938884,17.581516486041153,352.54,5.101651851010702
2024-04-11,80.9,0.8605380082624721,350.1769991518337,17.910888118409726,365.59,4.401488643028584
2024-04-12,84.10000000000001,0.9768569089370547,348.9281027985408,17.977961832416053,366.49,5.033099099959526
2024-04-13,83.2,0.9118169201711078,340.9920870866962,18.09344796803175,357.49,4.838209899313384
2024-04-14,75.10000000000001,0.6287527625408412,337.64288618759235,17.649406642462377,348.74,3.286642268021067
2024-04-15,69.8,0.4853110920954847,321.90045538410146,16.70999130799155,330.01,2.5192709361724797
2024-04-16,75.2,0.6570734430213968,320.1272178386038,16.714693952354885,331.11,3.4307555088718855
2024-04-17,76.5,0.7031703303797395,231.24585035381628,13.558804362329361,240.78,4.122949506594842
2024-04-18,68.8,0.4793384987520749,284.51972801612555,15.688853543194384,292.04,2.6431460610169877
2024-04-19,62.7,0.3147043414577262,298.5035115722511,15.94032065083025,303.52,1.68054586739248
2024-04-20,69.60000000000001,0.5201432450522678,154.39980452006975,10.84354168479152,160.04,3.6529809720044604
