timestamp,yield,ghi,seasonal_baseline,seasonal_efficiency,is_healthy_seasonal
2024-03-25,384.05,5618.79,0.06717761709521249,0.06835101506403496,True
2024-03-26,382.54,5508.77,0.06729799801955383,0.06944199883650215,True
2024-03-27,395.74,5687.99,0.06726163902584499,0.06957466520342429,True
2024-03-28,390.12,5600.13,0.06733044282764805,0.069662668532755,True
2024-03-29,372.54,5364.21,0.06754044636290729,0.06944918262531684,True
2024-03-30,360.1,5410.05,0.06753540193955666,0.06656130718448788,True
2024-03-31,291.69,4219.22,0.06750210460082996,0.06913363131831626,True
2024-04-01,329.16,5008.84,0.06749796140854225,0.06571581442694999,True
2024-04-02,279.21,4207.13,0.06771294355473577,0.06636590738428193,True
2024-04-03,366.09,5526.97,0.0678692407227869,0.06623701592984274,True
2024-04-04,348.14,5232.08,0.06801902637342902,0.06653950244137331,True
